#SampleID	Metaphlan2_Analysis
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Dermatophilaceae|g__UBA4719|s__UBA4719	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__JACCUZ01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__JACCUZ01|f__JACCUZ01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__JACCUZ01|f__JACCUZ01|g__JACCUZ01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__JACCUZ01|f__JACCUZ01|g__JACCUZ01|s__JACCUZ01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales	4
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Frankiaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Frankiaceae|g__Frankiaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Frankiaceae|g__Frankiaceae|s__Frankiaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__JADGOU01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__JADGOU01|g__JADGOU01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__JADGOU01|g__JADGOU01|s__JADGOU01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Jatrophihabitantaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Jatrophihabitantaceae|g__QHCC01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Jatrophihabitantaceae|g__QHCC01|s__QHCC01	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Mycobacteriaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Palsa-504	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae|g__Palsa-504|s__Palsa-504	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia	25
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales	5
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae	2
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__Gaiella	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__Gaiella|s__Gaiella	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__JACCRW01	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__JACCRW01|s__JACCRW01	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellales	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellales|g__Gaiellales	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Gaiellales|f__Gaiellales|g__Gaiellales|s__Gaiellales	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Miltoncostaeales	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Miltoncostaeales|f__Miltoncostaeaceae	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Miltoncostaeales|f__Miltoncostaeaceae|g__Miltoncostaeaceae	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Miltoncostaeales|f__Miltoncostaeaceae|g__Miltoncostaeaceae|s__Miltoncostaeaceae	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales	19
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9|g__70-9	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9|g__70-9|s__70-9	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae	16
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__JACCYI01	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__JACCYI01|s__JACCYI01	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-465	7
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-465|s__Palsa-465	7
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-744	5
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-744|s__Palsa-744	4
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Palsa-744|s__Palsa-744 sp017882375	1
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Solirubrobacteraceae	3
d__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Solirubrobacteraceae|s__Solirubrobacteraceae	3
d__Bacteria|p__Actinobacteriota|c__UBA4738	1
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__UBA4738	1
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__UBA4738|f__HRBIN12	1
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__UBA4738|f__HRBIN12|g__AC-51	1
d__Bacteria|p__Actinobacteriota|c__UBA4738|o__UBA4738|f__HRBIN12|g__AC-51|s__AC-51	1
d__Bacteria|p__Armatimonadota	1
d__Bacteria|p__Armatimonadota|c__Chthonomonadetes	1
d__Bacteria|p__Armatimonadota|c__Chthonomonadetes|o__Chthonomonadales	1
d__Bacteria|p__Armatimonadota|c__Chthonomonadetes|o__Chthonomonadales|f__Chthonomonadaceae	1
d__Bacteria|p__Armatimonadota|c__Chthonomonadetes|o__Chthonomonadales|f__Chthonomonadaceae|g__Chthonomonadaceae	1
d__Bacteria|p__Armatimonadota|c__Chthonomonadetes|o__Chthonomonadales|f__Chthonomonadaceae|g__Chthonomonadaceae|s__Chthonomonadaceae	1
d__Bacteria|p__Bacteroidota	7
d__Bacteria|p__Bacteroidota|c__Bacteroidia	6
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__VadinHA17	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__VadinHA17|g__LD21	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__VadinHA17|g__LD21|s__LD21	2
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales	4
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae	4
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Ginsengibacter	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Ginsengibacter|s__Ginsengibacter	1
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Puia	3
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae|g__Puia|s__Puia	3
d__Bacteria|p__Bacteroidota|c__Ignavibacteria	1
d__Bacteria|p__Bacteroidota|c__Ignavibacteria|o__SJA-28	1
d__Bacteria|p__Bacteroidota|c__Ignavibacteria|o__SJA-28|f__OLB5	1
d__Bacteria|p__Bacteroidota|c__Ignavibacteria|o__SJA-28|f__OLB5|g__OLB5	1
d__Bacteria|p__Bacteroidota|c__Ignavibacteria|o__SJA-28|f__OLB5|g__OLB5|s__OLB5	1
d__Bacteria|p__Chloroflexota	4
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria	2
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales	2
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonobacteraceae	2
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonobacteraceae|g__CF-113	1
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonobacteraceae|g__CF-113|s__CF-113	1
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonobacteraceae|g__JACDAE01	1
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Ktedonobacteraceae|g__JACDAE01|s__JACDAE01	1
d__Bacteria|p__Chloroflexota|c__Limnocylindria	2
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales	2
d__Bacteria|p__Chloroflexota|c__Limnocylindria|o__Limnocylindrales|f__CSP1-4	2
